location,totaltweets,retweetcount,hashtags,date,Clean Text,Sentiment
København,1939,8,['dkpol'],2021-08-15 22:11:24,alle tågehornene med deres variationer over afghanerne har valgt  må have et spændende syn på danmarks overgivelse til nazisterne under    verdenskrig   og så har de selvfølgelig ikke forstået det mindste om samtykke   ,5.0
"København, Danmark",7316,0,['dkpol'],2021-08-15 22:11:10,det er så skamfuldt  at det gør ondt  og  er skyld i smøleriet som kan koste menneskeliv  ,-4.0
,32100,0,['dkpol'],2021-08-15 22:10:52,  handlinger uden fornuft er socialistisk dna  eneste formål er magt  uanset hvad det koster og hvilke konsekvenser det får  socialister er ligeglade  samfundet kan gå ned  bare de stadig har magten  ,-2.0
,6,3,"['Kabul', 'dkpol']",2021-08-15 22:10:01,mit hjerte bløder for det afghanske folk    nu går vi den tid i møde hvor politikkere kommer til at nægte asyl og politisk hjælp til nye flygtninge    det internationale fælleskab vil køre nyhedshistorier  mens de vil forsømme folket  som er påvirket   ,-3.0
NørrebroPark Kvarter. K.B.H . ,3716,4,"['dkpol', 'Afghanishtan']",2021-08-15 22:09:34,den største trussel mod ekstremisterne er en selvstændig kvinde  derfor skal hun fjernes fra det offentlige rum  fra indflydelse fra alt  og der er lige det taliban gør     års indsats og så det her… suk      ,-2.0
"København, Danmark",2200,1,"['Afghanistan', 'dkpol', 'brianmørk']",2021-08-15 22:09:01,det sidste jeg orker i dette døgn er at høre racister og nationalister kloge sig på situationen i   det næstsidste jeg orker er ikkemorsomme komikere  der prøver at gøre sig morsomme på bekostning af tragediens ofre   ørk,-5.0
Odense,418,84,"['WorldPride', 'dkmedier', 'LGBT', 'dkpol']",2021-08-15 22:07:51,i anledning af  vil jeg bruge dette foto som avatar   ville ikke rejse tiltale  for jeg havde jo  provokeret med [min] seksualitet    ville ikke fortælle historien    ,-2.0
"Copenhagen, Denmark",13075,24,['dkpol'],2021-08-15 22:03:34,regeringens udenrigspolitik kan grundlæggende beskrives som ét stort svigt  svigt af danske børn i syrien  svigt af tolke i afghanistan  svigt af corona ramte italien  svigt i kampen mod diktaturenes fremmarch  det er pinligt  det er en skændsel ,-4.0
"Aarhus, Danmark",1600,0,['dkpol'],2021-08-15 22:00:38,usa gik i krig i afghanistan  fiasko og tragedie  usa gik i krig i irak  fiasko og tragedie  alligevel er der mange i    der har meget travlt med at bebrejde obama  at han ikke begyndte en ny krig i syrien ,-18.0
,62396,0,"['dkpol', 'dkmedier']",2021-08-15 22:00:12,     det handler om at de ønsker at have monopol på at ytre sig  de bryder sig ikke om  at andre mennesker pludselig kan komme til orde   det er hvad venstrefløjsmedier som drs kampagne om  grimme ord på sociale medier  primært handler om; om genindførsel af censur    ,-1.0
Kontakt: esbensenb@gmail.com,19332,3,"['dkmedier', 'Afghanistan', 'dkpol']",2021-08-15 21:59:59,hvorfor er det  at i fortsætter den her bizarre bothsidesism   mange står netop måbende og uforstående overfor kollapset i   fordi de fik sådan lidt et   /  indtryk af situationen  det er misvisende   ,0.0
,91311,17,"['afghansketolke', 'dkpol', 'dkmedier']",2021-08-15 21:59:15,de stod foran os     reddede vores liv   fuck jer   jeres svigt er det mest nedrige     ,-2.0
,1084,117,"['dkpol', 'dkforsvar']",2021-08-15 21:58:30,tidligere ansatte ved den danske ambassade i kabul er på egen hånd flygtet med familier  tør ikke vente og stoler ikke på hjælp fra danmark  fortæller kilde i um  pinligt ud over grænser   ,1.0
⚜️🇩🇰Denmark~Copenhagen Area,32739,0,['dkpol'],2021-08-15 21:57:57, det legitimerer ikke at det er ok at begå de fejl ved at  varsle  på forhånd    her evner de at være på forkant  men med ganske meget andet  handles der først når noget er sket  det er nok også  en fejl   ,0.0
"Aarhus, Danmark",2584,3,"['Kabul', 'dkpol']",2021-08-15 21:55:33,mit hjerte bløder for det afghanske folk    nu går vi den tid i møde hvor politikkere kommer til at nægte asyl og politisk hjælp til nye flygtninge    det internationale fælleskab vil køre nyhedshistorier  mens de vil forsømme folket  som er påvirket   ,-3.0
Danmark,23043,0,['dkpol'],2021-08-15 21:55:07,lige nu er  populær på  ,3.0
,59,0,['dkpol'],2021-08-15 21:54:54,cv for øverste chef for vores forsvar      føtex    deloitte    seriøst ,0.0
Denmark,65964,16,['dkpol'],2021-08-15 21:54:41,trine bramsen   dk militære fly er i området omkring afg  situationen er alvorlig  det er svært at operere  det er vigtigt for at kunne evakuere  at vores fly er operative  vi knokler på højtryk  på baggrund af de beredskabsplaner  som vi har haft fokus på siden april   ,-2.0
Danmark,5946,1,"['Afghanistan', 'dkpol']",2021-08-15 21:54:10,på en dag som denne eft   års krig      faldne  mia  af kr  brugt &amp; brudte løfter om demokrati  frihed &amp; asyl t tolke  tabt på blot en uge  må man helt stilfærdigt forespørge  hvor vigtig makrelmad  øllebrød  mælkebøtter &amp; strandfotos er   ps  fortsat go ferie ,-3.0
Denmark,19971,25,"['irakkommission', 'dkpol', 'dkmedier']",2021-08-15 21:52:37,ja  vi kunne jo starte med en ny  … det er på tide at  bliver stillet til ansvar    …   ,1.0
Danmark,72723,5,"['dkpol', 'Afganistan', 'dkmedier', 'LeaveNoOneBehind']",2021-08-15 21:51:01,på al jazeera viser de vildeste billeder af taliban krigere i præsident paladset  tiden rinder ud for masse evakuering af dem der har hjulpet danske soldater  vi har svigtet vores ansvar      ,3.0
Danmark,3705,0,['dkpol'],2021-08-15 21:50:29,den afsluttende sætning er topmålet af politikerarrogance  hvordan kan man være så blind overfor hvor stormobbende og ydmygende det her tweet er og samtidig forsøge at kommunikere ud  at alle andre skal opføre sig ordentligt  fuldkommen absurd   ,-4.0
Danmark,3150,0,['dkpol'],2021-08-15 21:50:11,manden til højre har udråbt sig selv som president for afghanistan  indtil      sad han i fængsel inden trump løslod ham     ,-2.0
"Hovedstaden, Danmark",21444,0,['dkpol'],2021-08-15 21:49:56, det er på tide at vores tåbelige politikere snart fatter at man ikke kan stole på muslimerne uanset hvor de kommer fra  det ender med en verdenskrig os mod muslimerne  hvis politikerne havde hørt efter hvad mange har sagt igennem tiden  var det ikke endt sådan  ,0.0
" Frederikshavn, Denmark",5298,0,"['dkpol', 'dkmedier', 'Maynmar', 'konfliktløsning']",2021-08-15 21:49:39,hør tale for maynmars spring revolution på demo     juli og interview med mie mie aye     øsning ,0.0
"København, Danmark",627,5,"['dkpol', 'Afganistan', 'dkmedier', 'LeaveNoOneBehind']",2021-08-15 21:49:30,på al jazeera viser de vildeste billeder af taliban krigere i præsident paladset  tiden rinder ud for masse evakuering af dem der har hjulpet danske soldater  vi har svigtet vores ansvar      ,3.0
Denmark,711,0,['dkpol'],2021-08-15 21:49:08,   erik  tror du virkelig  du øger dine troværdighed som folkevalgt for  ved at postulere  at en overstatslig sammensværgelse står bag domfældelsen i en sag  som du frejdigt placerer i kategorien ‘tilsyneladende kriminelle  fejl   er det virkelig jeres niveau i   ,-4.0
,4262,0,['dkpol'],2021-08-15 21:48:18,  hun har ikke kunnet gøre ret meget  da coronapandemien har bestemt det meste  og man altid åbner uddannelser  butikker osv  før teatre og kirker   det må have været frustrerende ikke at kunne gøre noget   ,0.0
"Frederiksberg, Danmark",3404,0,['dkpol'],2021-08-15 21:46:56,efter joy mogensens afgang i dag slår politikerne vognborg omkring deres kollega  mobning påstår man   når man styrer hvad vi skal betale i skat  hvem vi går i krig mod og om håndbold er vigtigere end det kongelige  så må man også leve med den kritik der kommer  ,-6.0
"Copenhagen, DK",3926,0,['dkpol'],2021-08-15 21:46:03,      nu står vi så i samme situation  som for    år siden  hvad er den bedste løsning mod taliban og alqaeda  de er næppe interesserede i rundbordssamtaler om europæisk demokrati  kvinder bliver fængslet derhjemme  hvad er det det rigtige at gøre  ,4.0
Danmark,14061,0,['dkpol'],2021-08-15 21:45:46,  årig forsvundet     midt og vestjyllands politi leder efter en   årig mand  der torsdag den     august forlod sit hjem i hampen  politiet beder borgere hjælpe ved at kigge i udhuse  skure og garager   foto  midt og vestjyll    ,3.0
"København, Danmark",627,20,"['dkpol', 'Kabul']",2021-08-15 21:44:47,mit fødeland er i brand og aldrig har jeg følt mig mere magtesløs jeg har brug for at se flere ikkeafghanere tilkendegive  at de er klar over  hvor stor en skuffelse indsats i afghanistan har været  kom nu  ,-5.0
,9649,117,"['dkpol', 'dkforsvar']",2021-08-15 21:44:14,tidligere ansatte ved den danske ambassade i kabul er på egen hånd flygtet med familier  tør ikke vente og stoler ikke på hjælp fra danmark  fortæller kilde i um  pinligt ud over grænser   ,1.0
"Frederiksberg, Danmark",3829,0,"['udlændingepolitik', 'dkpol', 'syrienbørn', 'tolke']",2021-08-15 21:43:39,   at være hård på ændingepolitik har der desv længe været stort flertal for i   at lande en holdbar aft om ørn tog lang tid pga  bredt funderede populistiske hensyn &amp; en aftale om vestligt sindede  m fl  har meget få ønsket før nu  trods årelang diskussion ,3.0
,9551,8,"['dkpol', 'dkmedier']",2021-08-15 21:43:09,jeg savner  at  sender live nyheder fra verdensbegivenhederne i afghanistan   det er en mærkværdig prioritering   ,0.0
,59,0,['dkpol'],2021-08-15 21:42:06,hvor ville jeg ønske  at vi i disse tider havde en forsvarsminister med forstand på    ja  forsvaret    er ikke kvalificeret overhovedet   ,3.0
"Horsens, Danmark",10132,0,"['dkpol', 'dkkrig']",2021-08-15 21:41:32,  humm  hvor er dem der ved noget om det  det ligner en flok spin gutter     ,0.0
"København, Danmark",11516,16,['dkpol'],2021-08-15 21:41:07,trine bramsen   dk militære fly er i området omkring afg  situationen er alvorlig  det er svært at operere  det er vigtigt for at kunne evakuere  at vores fly er operative  vi knokler på højtryk  på baggrund af de beredskabsplaner  som vi har haft fokus på siden april   ,-2.0
"Copenhagen, Denmark",50577,16,['dkpol'],2021-08-15 21:40:20,trine bramsen   dk militære fly er i området omkring afg  situationen er alvorlig  det er svært at operere  det er vigtigt for at kunne evakuere  at vores fly er operative  vi knokler på højtryk  på baggrund af de beredskabsplaner  som vi har haft fokus på siden april   ,-2.0
,2939,16,['dkpol'],2021-08-15 21:40:12,trine bramsen   dk militære fly er i området omkring afg  situationen er alvorlig  det er svært at operere  det er vigtigt for at kunne evakuere  at vores fly er operative  vi knokler på højtryk  på baggrund af de beredskabsplaner  som vi har haft fokus på siden april   ,-2.0
"Hovedstaden, Danmark",21444,0,['dkpol'],2021-08-15 21:40:03, forkert  der har været alt for lidt fokus på det militære  vi skulle simpelthen bare have jævnet hele lortet ned jorden  det er den fejl vesten altid begår  og angående afghanerne så ligger de som de selv har redt  de kunne i det mindste have gjort et forsøg på at kæmpe  ,-10.0
,10150,5,"['kampagneavisen', 'dkpol', 'dkmedier']",2021-08-15 21:39:46,har det fint med at   og deres chefredaktør mener det er fint at  kæmper for ligestilling  hvornår erkender man så det var en fejl at komme med alle de nedsættende kommentarer om  pga hendes udseende   ,-2.0
,25550,16,['dkpol'],2021-08-15 21:38:52,trine bramsen   dk militære fly er i området omkring afg  situationen er alvorlig  det er svært at operere  det er vigtigt for at kunne evakuere  at vores fly er operative  vi knokler på højtryk  på baggrund af de beredskabsplaner  som vi har haft fokus på siden april   ,-2.0
"Viborg, Danmark",2073,84,"['WorldPride', 'dkmedier', 'LGBT', 'dkpol']",2021-08-15 21:36:47,i anledning af  vil jeg bruge dette foto som avatar   ville ikke rejse tiltale  for jeg havde jo  provokeret med [min] seksualitet    ville ikke fortælle historien    ,-2.0
Danmark,323229,16,['dkpol'],2021-08-15 21:35:04,trine bramsen   dk militære fly er i området omkring afg  situationen er alvorlig  det er svært at operere  det er vigtigt for at kunne evakuere  at vores fly er operative  vi knokler på højtryk  på baggrund af de beredskabsplaner  som vi har haft fokus på siden april   ,-2.0
,62396,0,"['dkmedier', 'dkpol']",2021-08-15 21:34:32, de har jo ikke vundet over usa  den uduelige joe biden har på komplet uansvarlig vis trukket tæppet væk under muligheden for at afghanistan kunne holde taliban stangen   hvis trump havde udført tilbagetrækning så idiotisk ville  have beskyldt ham dagen lang   ,-7.0
Denmark,6753,16,['dkpol'],2021-08-15 21:34:28,trine bramsen   dk militære fly er i området omkring afg  situationen er alvorlig  det er svært at operere  det er vigtigt for at kunne evakuere  at vores fly er operative  vi knokler på højtryk  på baggrund af de beredskabsplaner  som vi har haft fokus på siden april   ,-2.0
"Frederiksberg, Denmark",8249,0,"['voldtægt', 'metoo', 'Dkpol', 'svpol', 'samtykke']",2021-08-15 21:31:48,ifølge de svenske regler vil voldtægtsofrene ikke få del i pengene  selvom voldtægtmanden skylder kvinderne erstatning  tragisk  ægt     ,-2.0
Danmark,14061,1,['dkpol'],2021-08-15 21:31:43,vanvidsbilist fik beslaglagt sin leasede bil     torsdag kl        blitzede en af østjyllands politis fotovogne en vanvidsbilist  der på holmstrupgårdvej i brabrand blev målt til at køre     km/t på en s    ,-4.0
"Næstved, Danmark",746,0,"['dkpol', 'Kabul']",2021-08-15 21:30:55,så kan man vel kun konkluderer at usa ødelagde afghanistan både på vej ind og ud af landet  ,0.0
,1193,16,"['covid', 'dkpol']",2021-08-15 21:30:42,nej børn skal ikke vaccineres mod   læs lægens svar    ,-1.0
Båring/Asperup ,3085,0,"['Afganistan', 'kabul', 'klimaminister', 'dkpol']",2021-08-15 21:29:38,i dag …… i  sker de mest forfærdige ting  det er skræmmende at tænke på hvad det betyder for de der fortsat er i    her i andedammen … grov voksenmobning af afgående   trist og vred over det menneskesyn  mfl udviser,-8.0
København ,82575,2,['dkpol'],2021-08-15 21:29:35,ja  også ham         har svigtet    jeg tager gerne afsted og kæmper igen  så sig til    det plejer i at gøre   jeg ved at mange andre veteraner også har det som jeg    denne gang er det jer der har svigtet  ikke hæren  ,-5.0
Copenhagen,7181,16,['dkpol'],2021-08-15 21:29:05,trine bramsen   dk militære fly er i området omkring afg  situationen er alvorlig  det er svært at operere  det er vigtigt for at kunne evakuere  at vores fly er operative  vi knokler på højtryk  på baggrund af de beredskabsplaner  som vi har haft fokus på siden april   ,-2.0
"Frederiksberg, Danmark",3404,7,['dkpol'],2021-08-15 21:28:30,de offentligt ansatte er en kæmpestor og magtfuld gruppe  som alligevel bliver fremstillet som ofre i debatten  denne paradoksale dualitet gør dem urørlige  derfor kan  roligt favorisere dem  uden det vækker opsigt  leder i    ,2.0
Danmark,72723,4,"['dkpol', 'dkmedier']",2021-08-15 21:28:02,på dagen hvor  fortæller om mobning i politik  går  af  lige meget hvad man mener om ministerens og regeringens politik på området har der ikke været kønt   ,-2.0
København,3847,13,"['dkpol', 'dkmedier']",2021-08-15 21:27:48,   års krig   enorme personlige omkostninger for alt for mange af os   jeg har været i krig  og betalt en høj pris for at få  til at påtage sig et medansvar for de krige de løj os ind i   den ansvarsforflygtigelse vi nu er vidne til må stoppe   ny irakkommision    ,-6.0
Danmark,23043,0,['dkpol'],2021-08-15 21:27:06,lige nu er  populær på  ,3.0
,7501,4,"['dkpol', 'dkmedier']",2021-08-15 21:27:05,på dagen hvor  fortæller om mobning i politik  går  af  lige meget hvad man mener om ministerens og regeringens politik på området har der ikke været kønt   ,-2.0
"Aalborg, Danmark",13606,13,"['dkpol', 'dkmedier']",2021-08-15 21:26:48,   års krig   enorme personlige omkostninger for alt for mange af os   jeg har været i krig  og betalt en høj pris for at få  til at påtage sig et medansvar for de krige de løj os ind i   den ansvarsforflygtigelse vi nu er vidne til må stoppe   ny irakkommision    ,-6.0
,62396,0,"['dkpol', 'dkmedier']",2021-08-15 21:26:46, det lyder ganske rigtigt  men er df ikke alt andet lige en del af den  antiinstritunelle   som du kalder det  del   det gik jo glimrende med samarbejdet under fogh   problemet er de uborgerlige ledere som løkke og uffes dreng   den borgerlige fremtid er nb    ,0.0
Copenhagen,4118,16,['dkpol'],2021-08-15 21:26:43,trine bramsen   dk militære fly er i området omkring afg  situationen er alvorlig  det er svært at operere  det er vigtigt for at kunne evakuere  at vores fly er operative  vi knokler på højtryk  på baggrund af de beredskabsplaner  som vi har haft fokus på siden april   ,-2.0
"In pages of a book, Copenhagen",15343,5,"['dkmedier', 'dkpol']",2021-08-15 21:26:35,tak til tv  for en grundig og dybdegående gennemgang af situationen i afghanistan i   ’eren  det er vildt  så højt niveauet er på en tvstation i lille danmark  simi jan i øvrigt mvp  jeg mangler stadig svar på  hvordan det kan gå så hurtigt  nogen der ka linke   ,2.0
Danmark,1119,16,['dkpol'],2021-08-15 21:25:54,trine bramsen   dk militære fly er i området omkring afg  situationen er alvorlig  det er svært at operere  det er vigtigt for at kunne evakuere  at vores fly er operative  vi knokler på højtryk  på baggrund af de beredskabsplaner  som vi har haft fokus på siden april   ,-2.0
they/them,256,3,"['Kabul', 'dkpol']",2021-08-15 21:22:38,mit hjerte bløder for det afghanske folk    nu går vi den tid i møde hvor politikkere kommer til at nægte asyl og politisk hjælp til nye flygtninge    det internationale fælleskab vil køre nyhedshistorier  mens de vil forsømme folket  som er påvirket   ,-3.0
"Frederiksberg, Danmark",3404,10,['dkpol'],2021-08-15 21:22:25,nye dokumenter afslører  sådan foregår møderne i ’s erhvervsklub   kan nu beskrive detaljer fra de otte møder  som er afholdt siden sommeren       hvem deltog  hvad blev der diskuteret  og hvordan brugte ministrene embedsværket   ,-2.0
 ,4575,0,['dkpol'],2021-08-15 21:22:21,ville passe godt ind på amager fælled   ,4.0
Syddanmark,344459,2,['dkpol'],2021-08-15 21:18:02,ja  også ham         har svigtet    jeg tager gerne afsted og kæmper igen  så sig til    det plejer i at gøre   jeg ved at mange andre veteraner også har det som jeg    denne gang er det jer der har svigtet  ikke hæren  ,-5.0
København,8083,2,['dkpol'],2021-08-15 21:16:59,ja  også ham         har svigtet    jeg tager gerne afsted og kæmper igen  så sig til    det plejer i at gøre   jeg ved at mange andre veteraner også har det som jeg    denne gang er det jer der har svigtet  ikke hæren  ,-5.0
Danmark,14061,0,['dkpol'],2021-08-15 21:16:20,udenlandske studerende snydt af falsk udlejer     torsdag aften henvendte en kvinde og hendes datter sig i ekspeditionen på politigården i aarhus for at anmelde en sag  hvor datteren tilsyneladende var blev    ,-4.0
"Aarhus, Danmark",321,0,"['dkpol', 'værstekulturminister']",2021-08-15 21:13:45,joy mogensen var muligvis ikke en god kulturminister  hun var det også i en regering der er fuldstændig ligeglade med kulturen  men hun var trods alt ikke en kulturminister der aktivt og åbent arbejdede på at dræbe kulturen ligesom mette bock  ærstekulturminister,-2.0
,1612,0,"['dkpol', 'idraetspol']",2021-08-15 21:13:22,kære ⁦⁩  respekt for dig og din beslutning  tak for et godt samarbejde  ⁦⁩    ,9.0
,6058,0,['dkpol'],2021-08-15 21:13:16, på  mener trump gennem   år angreb demokrati og medier  sig mig hvornår stopper fakenews  enhver ædruelig observatør vil nok mene det modsatte var tilfældet  at medierne gennem   år førte kampagne mod trump og demokratiet    dr er fakenews  nedlæg lortet ,-6.0
"Dronninglund, Denmark",3934,1,"['kv21', 'dkpol']",2021-08-15 21:13:08,klimakrisen er et enormt stort problem som vi skal have på dagsordenen på alle politiske niveauer på hvert eneste møde  med målbare og konkrete mål og fremskridt hen imod dem  også i brønderslev kommune      ,-1.0
Danmark,323229,2,['dkpol'],2021-08-15 21:13:04,en frihedens hædersmand er gået bort  man kan ikke skrive den seksuelle frigørelses historie uden at skrive sten hegelers historie  han var stor  han var fri  han var gammel og nu er han død  tak for alt det du gav danmark sten  tak   ,1.0
Copenhagen,36007,2,['dkpol'],2021-08-15 21:12:24,en frihedens hædersmand er gået bort  man kan ikke skrive den seksuelle frigørelses historie uden at skrive sten hegelers historie  han var stor  han var fri  han var gammel og nu er han død  tak for alt det du gav danmark sten  tak   ,1.0
"Granada Hills, CA",4108,0,"['Afghanistan', 'dkpol', 'dkmedier']",2021-08-15 21:09:59,mærkeligt som mange af de der tidligere fordømte vestens invasion af   nu græder over taleban’s tilbagevenden…  ,-1.0
,1179,0,['Dkpol'],2021-08-15 21:09:45,bliver det løst el  opløst  ,1.0
Valby,5963,0,['dkpol'],2021-08-15 21:08:50,hvem er hende der  i alle snakker om  folydninger står på hun aldrig var på arbejde  ,0.0
Bulgarien,11190,0,['dkpol'],2021-08-15 21:08:16,i ved jo godt at usa ikke bare trækker soldaterne tilbage for at de skal sidde og trille fingre i usa  så danmark skal være klar til at stille soldater til rådighed snart til den næste invasion ,4.0
Copenhagen,1805,3,['dkpol'],2021-08-15 21:07:31,selvfølgelig skal vi øjeblikkelig forbyde brug af giftstoffer oven på de jorde  hvor vores grundvand dannes  her kan vi så skabe mere vild natur  derefter skal vi senest i      have alt sprøjtning udfaset    ,-2.0
"Aarhus, Denmark",59,117,"['dkpol', 'dkforsvar']",2021-08-15 21:07:29,tidligere ansatte ved den danske ambassade i kabul er på egen hånd flygtet med familier  tør ikke vente og stoler ikke på hjælp fra danmark  fortæller kilde i um  pinligt ud over grænser   ,1.0
Denmark,30461,4,"['Afghanistan', 'dkpol']",2021-08-15 21:04:00,hvor er det dog deprimerende    ,0.0
"Frederiksberg, Denmark",44937,0,"['dkpol', 'dkmedier', 'ClimateReport', 'ClimateCrisis']",2021-08-15 21:00:59,  tænk over hvordan historien vil huske jer   &amp;     var i dem der turde sætte foden ned  eller var i dem  der lod stå til  fordi i holdt på politiske magtspil og status quo     ,2.0
Bulgarien,11190,0,['dkpol'],2021-08-15 20:59:41,nå men hvilket land skal vi nu til at invadere næste gang   ,1.0
"The Vejle, Jutland, Denmark",22365,3,['dkpol'],2021-08-15 20:59:35,be kind  work hard  stay humble  sådan har du været hele vejen igennem  tak for indsatsen og samarbejdet  joy   tak for altid at inddrage dsu  senest ifm  regulering af techgiganterne  én gang dsuer  altid dsuer     ,3.0
"Sjælland, Danmark",3869,24,['dkpol'],2021-08-15 20:59:11,regeringens udenrigspolitik kan grundlæggende beskrives som ét stort svigt  svigt af danske børn i syrien  svigt af tolke i afghanistan  svigt af corona ramte italien  svigt i kampen mod diktaturenes fremmarch  det er pinligt  det er en skændsel ,-4.0
"The Vejle, Jutland, Denmark",22365,1,['dkpol'],2021-08-15 20:58:31,giv gerne kulturministeren al den ris  hun [måske] fortjener   men husk mennesket joy mogensen   vi skal ikke have færre af hendes slags i  ,0.0
"Copenhagen, Denmark",3596,0,"['usmagelig', 'dkpol']",2021-08-15 20:56:32,   fik du lige en mulighed for at profilerer dig selv  inden liget var blevet koldt   ,4.0
"Aalborg, Denmark",20914,2,"['dkpol', 'dkmedier']",2021-08-15 20:55:59,…   … det er på jeres vagt     ,-2.0
"The Vejle, Jutland, Denmark",22365,1,['dkpol'],2021-08-15 20:55:47, et stort tak for samarbejdet i en svær tid og tak for de fine ting vi fik udrettet sammen  du har haft tunge byrder på dine skuldre  professionelt som privat  jeg ønsker dig af hjertet en god tid uden politik og som mor  det fortjener du om nogen ,9.0
"Copenhagen, Denmark",6033,9,['dkpol'],2021-08-15 20:55:32,ipcc  så det nu   statsministeren er tavs klimaministeren mener alt vel i dk landbrugsministeren henviser til kostråd  dem der stadig undlader personlig handling fordi  løsningen er systemisk  må til at vågne op nu  den systemiske forandring sker ik uden den personlige   ,-2.0
,19375,9,['dkpol'],2021-08-15 20:55:26,og det skal vi ned og blåstemple til vm næste år  gud fader i skuret… ,-2.0
,8403,5,['dkpol'],2021-08-15 20:55:15,når det danske folketing ikke har evakueret alle dem der har arbejdet for danmark  og deres familier  så skyldes det desværre udelukkende en ting  udlændinge politik  det er simpelthen ikke i orden  og jeg synes ikke at de danske politikere  er ordentlige mennesker her   ,-1.0
,10532,0,"['Kabul', 'dkpol', 'dkmedier', 'Afganistan']",2021-08-15 20:55:01,       må man minde om det lille hus på prærien der går under navnet pentagon  de må for pokker da også have en form for ekspertise fra andre krige og et par officerer der kunne rådgive i felten i afghanistan      ,0.0
"Copenhagen, Denmark",13250,16,"['Afghanistan', 'dkmedier', 'dkpol']",2021-08-15 20:54:53,jeg har tilbragt en nat med afghanske flygtninge og desertører fra den afghanske hær ikke langt fra den iranske grænse i byen van i østtyrkiet  læs i  i dag     ,0.0
,2379,0,[],2021-08-15 20:53:44,    så lige der var kommet en mail fra jer men tør fandeme ikke trykke på den ,0.0
Syddanmark,344459,2,"['dkpol', 'dkmedier']",2021-08-15 20:52:09,…   … det er på jeres vagt     ,-2.0
København,8083,2,"['dkpol', 'dkmedier']",2021-08-15 20:51:09,…   … det er på jeres vagt     ,-2.0
,89,0,['dkpol'],2021-08-15 20:49:25,  tænk at man som minister kan gøre det så dårligt at det er mobning at gøre opmærksom på det    ,-5.0
"Copenhagen, Denmark",28052,10,['dkpol'],2021-08-15 20:48:06,nye dokumenter afslører  sådan foregår møderne i ’s erhvervsklub   kan nu beskrive detaljer fra de otte møder  som er afholdt siden sommeren       hvem deltog  hvad blev der diskuteret  og hvordan brugte ministrene embedsværket   ,-2.0
København,56,1,['dkpol'],2021-08-15 20:47:47,rejsende i kontroverser  provokationer og retssale er morten messerschmidt nået op blandt de øverste i dansk politik  nu ligger hele hans fremtid til afgørelse i østre landsret  hvad driver ham      ,-2.0
"The Vejle, Jutland, Denmark",22365,31,['dkpol'],2021-08-15 20:47:25,hvis ikke alle  der har arbejdet for dk i afghanistan  og som ønsker evakuering hertil får det pga politisk nøl herhjemme  er det på høje tid at vi tager en alvorlig samtale om omkostningerne ved frygten for at tage sig slap ud i udlændingepolitikken  allerede over tid  ,0.0
Danmark,23043,0,['dkpol'],2021-08-15 20:47:07,lige nu er  populær på  ,3.0
Denmark - Copenhagen North,979221,0,"['MongoTV', 'FlightRadar', 'Flytrafik', 'Afghanistan', 'Kabul', 'DkPol', 'SvPol', 'NoPol', 'KbhPol', 'dkmedier']",2021-08-15 20:45:58, mongotv_           del      over    indtages         ,0.0
Danmark,14061,1,['dkpol'],2021-08-15 20:45:47,seks unge mænd sigtet for at sætte ild til elefantskulptur     torsdag kl        fik østjyllands politi en anmeldelse om  at der var ild ved øster bjerregrav aktivitetspark på blishønevej    ,2.0
Denmark - Copenhagen North,979221,0,"['MongoTV', 'FlightRadar', 'Flytrafik', 'Afghanistan', 'Kabul', 'DkPol', 'SvPol', 'NoPol', 'KbhPol', 'dkmedier']",2021-08-15 20:45:12, mongotv_           del      over    indtages         ,0.0
"Aalborg, Danmark",13606,2,['dkpol'],2021-08-15 20:45:03, det er hvad i har gjort  skam jer ,-2.0
"Lyngby-Taarbæk, Danmark",879,117,"['dkpol', 'dkforsvar']",2021-08-15 20:45:03,tidligere ansatte ved den danske ambassade i kabul er på egen hånd flygtet med familier  tør ikke vente og stoler ikke på hjælp fra danmark  fortæller kilde i um  pinligt ud over grænser   ,1.0
,5577,1,['dkpol'],2021-08-15 20:44:44,så fik jeg endelig lyttet mig igennem en lang og meget vigtig podcast   ,2.0
Odense C Danmark,5098,0,['dkpol'],2021-08-15 20:44:40,  ja  det er med livet som indsats at være professionel soldat  fandme sørgeligt   usa lærer det aldrig  selvfølgelig værre dengang med vietnam  der blev soldaterne tvunget op i flyene  nu går vores jenser da frivilligt i den visse død  mod betaling  ,-8.0
"Copenhagen, Denmark",6033,117,"['dkpol', 'dkforsvar']",2021-08-15 20:43:41,tidligere ansatte ved den danske ambassade i kabul er på egen hånd flygtet med familier  tør ikke vente og stoler ikke på hjælp fra danmark  fortæller kilde i um  pinligt ud over grænser   ,1.0
"Aarhus, Danmark",54,10,['dkpol'],2021-08-15 20:42:20,joy er et af de mest ærlige og oprigtige mennesker jeg har mødt i politik  det er aldrig overfladisk og smalltalkclassic at sidde i en bil med hende  og hun føler sig aldrig for fin  unuancerede domme fældes  men jeg håber ikke mennesker som hende afskrækkes fra politik  ,4.0
,2934,13,"['dkpol', 'dkmedier']",2021-08-15 20:41:57,   års krig   enorme personlige omkostninger for alt for mange af os   jeg har været i krig  og betalt en høj pris for at få  til at påtage sig et medansvar for de krige de løj os ind i   den ansvarsforflygtigelse vi nu er vidne til må stoppe   ny irakkommision    ,-6.0
